Lenght_stride_1,Lenght_stride_2
"129,17","129,83"
"161,12","163,06"
"166,68","166,94"
"127,61","131,07"
"136,32","135,36"
"136,86","132,26"
"131,64","128,19"
"130,76","129,22"
"133,08","126,99"
"94,72","95,4"
"91,97","91,67"
"93,07","95,56"
"129,3","112,28"
"154,93","154,5"
"147,39","144,02"
"121,03","120,35"
"106,12","120,36"
"119,43","118,83"
"129,19","131,53"
"127,2","132,68"
"119,01","123,58"
"96,55","95,54"
"99,08","103,63"
"99,72","102,73"
"120,1","114,95"
"115,94","116,69"
"115,4","116,53"
"99,12","98,55"
"94,8","92,31"
"90,33","91,91"
"116,91","113,31"
"116,02","116,68"
"115,13","113,61"
"94,51","98,48"
"100,03","95,42"
"96,19","100,46"
"145,61","143,95"
"146,1","144,91"
"145,86","144,43"
"129,56","130,53"
"132,98","129,46"
"131,27","129,99"
"118,66","115,53"
"118,28","119,39"
"119,3","116,83"
"121,43","123,42"
"128,1","129,51"
"133,1","133,55"
"126,74","127,32"
"132,09","135,06"
"133,46","133,46"
"136,55","133,18"
"136,75","129,79"
"136,96","137,24"
"107,77","106,44"
"119,34","114,09"
"110,18","110,84"
"103,68","103,6"
"100,67","102,17"
"103,76","104,33"
"116,77","117,38"
"117,4","118,1"
"115,28","117,01"
"114,88","114,88"
"117,24","116,05"
"118,57","112,85"
"125,76","122,31"
"137,01","137,15"
"130,68","129,92"
"132,21","126,6"
"132,27","127,17"
"134,35","131,99"
"113,23","114,34"
"134,78","137,31"
"134,46","125,49"
"140,25","140,55"
"144,02","142,88"
"144,02","141,42"
"109,82","105,4"
"112,5","106,7"
116,"108,85"
"124,82","122,52"
"123,66","126,27"
"114,79","119,68"
"124,48","124,54"
"116,45",120
"122,09","123,27"
"119,04","119,68"
"117,64","115,79"
"119,73","120,02"
"116,65","117,11"
"121,38","118,32"
"117,04","121,16"
"123,6","126,69"
"130,43","128,4"
"125,59","124,25"
"116,97","118,42"
"124,4","123,22"
"121,54","116,32"
"119,36","121,23"
"115,83","116,67"
"124,01","122,71"
"122,48","124,01"
"127,72","127,11"
"123,55","127,46"
"112,3","110,97"
"121,3","122,13"
"120,67","122,87"
"118,32","116,82"
"123,58","129,38"
"124,33","125,25"
"104,61","109,34"
"114,34","115,07"
"109,62","111,97"
"113,49","116,7"
"112,78","120,68"
"120,99","111,54"
"128,25","125,99"
"126,76","119,26"
"128,3","125,64"
"105,65","102,22"
"105,56","90,85"
"109,15","111,73"
"125,87","123,2"
"128,48","127,25"
"131,94","129,27"
"127,08","126,93"
"123,5","125,56"
"126,85","127,05"
"109,22","109,07"
"106,76","106,65"
"115,46","114,06"
"132,29","131,06"
"134,2","133,6"
"133,37","128,32"
"149,88","148,61"
"157,59","152,46"
"158,66","153,62"
"116,84","115,36"
"116,69","115,53"
"119,31","120,44"
"123,37","122,23"
"133,26","131,99"
"136,91","135,27"
"120,79","119,71"
"121,93","122,02"
"119,69","119,36"
"127,21","127,29"
"125,32","126,97"
"128,28",127
"124,34","123,3"
"129,07","129,58"
"135,57","133,46"
"105,53","105,44"
"105,4","106,71"
"111,55","110,49"
"113,03","110,4"
"115,88","114,32"
"114,16","111,51"
"131,87","130,88"
"131,09","133,29"
"134,51","131,89"
"143,3","141,96"
"144,53","142,24"
"145,02","147,07"
"132,1","132,13"
"128,27","128,34"
"124,46","125,73"
"132,07","128,12"
"133,42","129,89"
"138,33","136,02"
"122,9","124,26"
"124,46","124,85"
"125,43","124,62"
"131,24","135,02"
"135,77","135,88"
"139,79","136,17"
"128,71","129,54"
"129,61","133,27"
"128,05","127,24"
"135,68","134,25"
"133,77","132,42"
"136,12","136,14"
"128,31","124,82"
"120,65","120,42"
"113,13","114,17"
"141,02","136,94"
"138,16","139,53"
"139,49","138,38"
